nombre,descuento,precio,fechaLanzamiento,usuarioCompraron,plataformas,resenia,bloqueoDeEdad,etiquetas,desarrollador,editor,genero,metacritic,herf,imagen,descipcion
Hell Let Loose,0,29.99,6 Jun 2019,35264,windows ,"Very Positive / 85% of 21,773",false, Action / Shooter / World War II / Multiplayer / War / Simulation / FPS / Realistic / Strategy / Singleplayer / First-Person / Military / Indie / Violent / Massively Multiplayer / Gore / Tanks / Historical / Early Access / Mature ,Black Matter Pty Ltd,Team17,Action / Indie / Simulation / Strategy / Early Access,"",https://store.steampowered.com/app/686810/Hell_Let_Loose/?snr=1_7_7_230_150_4,https://cdn.akamai.steamstatic.com/steam/apps/686810/capsule_sm_120.jpg?t=1609948545," Join the ever expanding experience of Hell Let Loose - a hardcore World War Two first person shooter with epic battles of 100 players with infantry, tanks, artillery, a dynamically shifting front line and a unique resource based RTS-inspired meta-game. "
Total War: THREE KINGDOMS,0,59.99,23 May 2019,67279,windows / mac/ linux,"Very Positive / 84% of 43,885",false, Strategy / Historical / War / Turn-Based Strategy / Grand Strategy / RTS / Military / Tactical / Multiplayer / Singleplayer / Real Time Tactics / Action / Great Soundtrack / Turn-Based / Co-op / Simulation / Violent / Sandbox / Fantasy / Destruction ,CREATIVE ASSEMBLY / Feral Interactive (Mac) / Feral Interactive (Linux),SEGA / Feral Interactive (Mac) / Feral Interactive (Linux),Action / Strategy,85,https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/779340/capsule_sm_120.jpg?t=1611322992," Total War: THREE KINGDOMS is the first in the award-winning series to recreate epic conflict across ancient China. Combining a gripping turn-based campaign of empire-building & conquest with stunning real-time battles, THREE KINGDOMS redefines the series in an age of heroes & legends. "
PAYDAY 2,0,9.99,13 Aug 2013,"",windows / linux,"Very Positive / 88% of 303,655",true,"","","","","",https://store.steampowered.com/app/218620/PAYDAY_2/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/218620/capsule_sm_120.jpg?t=1610019973,""
Risk of Rain 2,0,24.99,11 Aug 2020,139067,windows ,"Overwhelmingly Positive / 96% of 93,645",false, Third-Person Shooter / Action Roguelike / Multiplayer / Action / Roguelite / Co-op / Looter Shooter / Loot / Roguelike / Shooter / Online Co-Op / Difficult / Survival / Third Person / Indie / Singleplayer / Soundtrack / Early Access / Great Soundtrack / Bullet Hell ,Hopoo Games,"",Action / Indie,85,https://store.steampowered.com/app/632360/Risk_of_Rain_2/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/632360/capsule_sm_120.jpg?t=1597330177," Escape a chaotic alien planet by fighting through hordes of frenzied monsters – with your friends, or on your own. Combine loot in surprising ways and master each character until you become the havoc you feared upon your first crash landing. "
Mount & Blade II: Bannerlord,0,49.99,30 Mar 2020,150299,windows ,"Very Positive / 87% of 119,026",false, Medieval / Strategy / Open World / RPG / War / Multiplayer / Sandbox / Action / Singleplayer / Simulation / Moddable / Adventure / Character Customization / Horses / Realistic / Third Person / First-Person / Historical / Great Soundtrack / Early Access ,TaleWorlds Entertainment,TaleWorlds Entertainment,Action / RPG / Simulation / Strategy / Early Access,"",https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/261550/capsule_sm_120.jpg?t=1608928062," The horns sound, the ravens gather. An empire is torn by civil war. Beyond its borders, new kingdoms rise. Gird on your sword, don your armour, summon your followers and ride forth to win glory on the battlefields of Calradia. Establish your hegemony and create a new world out of the ashes of the old. "
Gunfire Reborn,21%,11.99,22 May 2020,31008,windows ,"Very Positive / 93% of 27,263",false, FPS / Co-op / Roguelite / Online Co-Op / Multiplayer / Roguelike / Indie / Early Access / Action / Adventure / RPG / Looter Shooter / Shooter / Action Roguelike / First-Person / Dungeon Crawler / Replay Value / Singleplayer / Fast-Paced / Souls-like ,Duoyi (Hong Kong) Interactive Entertainment Limited,Duoyi (Hong Kong) Interactive Entertainment Limited,Action / Adventure / Indie / RPG / Early Access,"",https://store.steampowered.com/app/1217060/Gunfire_Reborn/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/1217060/capsule_sm_120.jpg?t=1609746204," Gunfire Reborn is an adventure level-based game featured with FPS, Roguelite and RPG. Players can control heros with various abilities to experience diverse Build gameplay, use randomly dropped weapons to explore random levels. This game can be played by single player, or Co-op up to four. "
Fallout 4,0,29.99,9 Nov 2015,"",windows ,"Mostly Positive / 78% of 140,081",true,"","","","","",https://store.steampowered.com/app/377160/Fallout_4/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/377160/capsule_sm_120.jpg?t=1588615523,""
Subnautica,0,29.99,23 Jan 2018,153329,windows / mac,"Overwhelmingly Positive / 95% of 140,488",false, Open World Survival Craft / Survival / Open World / Exploration / Underwater / Crafting / Base Building / Singleplayer / Horror / Adventure / First-Person / Sci-fi / Sandbox / Aliens / Atmospheric / Action / Survival Horror / Early Access / Indie / Multiplayer ,Unknown Worlds Entertainment,Unknown Worlds Entertainment,Adventure / Indie,87,https://store.steampowered.com/app/264710/Subnautica/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/264710/capsule_sm_120.jpg?t=1609982984," Descend into the depths of an alien underwater world filled with wonder and peril. Craft equipment, pilot submarines and out-smart wildlife to explore lush coral reefs, volcanoes, cave systems, and more - all while trying to survive. "
DOOM Eternal,0,59.99,19 Mar 2020,"",windows ,"Very Positive / 89% of 96,153",true,"","","","","",https://store.steampowered.com/app/782330/DOOM_Eternal/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/782330/capsule_sm_120.jpg?t=1603213568,""
Call of Duty®: Black Ops III,0,59.99,5 Nov 2015,"",windows / mac,"Mostly Positive / 78% of 41,582",true,"","","","","",https://store.steampowered.com/app/311210/Call_of_Duty_Black_Ops_III/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/311210/capsule_sm_120.jpg?t=1595366455,""
Left 4 Dead 2,0,9.99,16 Nov 2009,458712,windows / mac/ linux,"Overwhelmingly Positive / 97% of 311,144",false, Zombies / Co-op / FPS / Multiplayer / Shooter / Action / Online Co-Op / Survival / Horror / First-Person / Gore / Team-Based / Moddable / Survival Horror / Post-apocalyptic / Singleplayer / Adventure / Local Co-Op / Replay Value / Tactical ,Valve,Valve,Action,89,https://store.steampowered.com/app/550/Left_4_Dead_2/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/550/capsule_sm_120.jpg?t=1601578341," Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns. "
嗜血印 Bloody Spell,50%,19.99,15 Jan 2019,12778,windows ,"Very Positive / 84% of 11,240",false, Sexual Content / Nudity / Female Protagonist / Action / Mature / RPG / Martial Arts / Hack and Slash / Violent / Action Roguelike / Gore / Early Access / Singleplayer / Action RPG / Indie / Roguelike / 3D / Shooter / FPS / 3D Vision ,艺龙游戏,艺龙游戏,Action / Adventure / Indie / RPG / Early Access,"",https://store.steampowered.com/app/992300/_Bloody_Spell/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/992300/capsule_sm_120.jpg?t=1611499695," This is a martial arts action role-playing game. The core of the game is battle-oriented, and it combines many fighting elements. If you are a player who pursues blood and is brave enough to challenge the limits, it will definitely inspire your adrenaline and bring you the best combat experience. "
Yakuza 3 Remastered,0,19.99,28 Jan 2021,"",windows ,Very Positive / 92% of 332,true,"","","","","",https://store.steampowered.com/app/1088710/Yakuza_3_Remastered/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/1088710/capsule_sm_120.jpg?t=1611852705,""
OMORI,0,19.99,25 Dec 2020,5445,windows / mac,"Overwhelmingly Positive / 98% of 4,941",false, Psychological Horror / Indie / Story Rich / Pixel Graphics / Hand-drawn / RPGMaker / Horror / RPG / Multiple Endings / Turn-Based / Colorful / 2D / Anime / Party-Based RPG / Atmospheric / Exploration / JRPG / Fantasy / Stylized / Cats ,"OMOCAT, LLC","OMOCAT, LLC / PLAYISM",Adventure / Indie / RPG,"",https://store.steampowered.com/app/1150690/OMORI/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/1150690/capsule_sm_120.jpg?t=1609260441," Explore a strange world full of colorful friends and foes. When the time comes, the path you’ve chosen will determine your fate... and perhaps the fate of others as well. "
Yakuza 5 Remastered,0,19.99,28 Jan 2021,"",windows ,Very Positive / 96% of 52,true,"","","","","",https://store.steampowered.com/app/1105510/Yakuza_5_Remastered/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/1105510/capsule_sm_120.jpg?t=1611852696,""
Sekiro™: Shadows Die Twice - GOTY Edition,0,59.99,21 Mar 2019,"",windows ,"Very Positive / 94% of 82,900",true,"","","","","",https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/814380/capsule_sm_120.jpg?t=1603904569,""
STAR WARS™ Battlefront™ II,0,39.99,11 Jun 2020,18399,windows ,"Very Positive / 89% of 15,132",false, Multiplayer / FPS / Shooter / Third-Person Shooter / Singleplayer / Action / Space / Co-op / Vehicular Combat / Sci-fi / Combat / Adventure / Online Co-Op / Third Person / First-Person / PvP / Aliens / Tactical / Character Customization / Controller ,DICE,Electronic Arts,Action / Adventure,"",https://store.steampowered.com/app/1237950/STAR_WARS_Battlefront_II/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/1237950/capsule_sm_120.jpg?t=1608417290, Be the hero in the ultimate STAR WARS™ battle fantasy with STAR WARS™ Battlefront™ II: Celebration Edition! 
No Man's Sky,0,59.99,12 Aug 2016,182711,windows ,"Mixed / 66% of 147,318",false, Open World / Open World Survival Craft / Space / Exploration / Sci-fi / Survival / Procedural Generation / First-Person / Adventure / Singleplayer / Sandbox / Atmospheric / Crafting / Space Sim / Multiplayer / Indie / Action / Simulation / FPS / Great Soundtrack ,Hello Games,Hello Games,Action / Adventure,61,https://store.steampowered.com/app/275850/No_Mans_Sky/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/275850/capsule_sm_120.jpg?t=1606325215, No Man's Sky is a game about exploration and survival in an infinite procedurally generated universe. 
Yakuza 4 Remastered,0,19.99,28 Jan 2021,"",windows ,Positive / 96% of 28,true,"","","","","",https://store.steampowered.com/app/1105500/Yakuza_4_Remastered/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/1105500/capsule_sm_120.jpg?t=1611853625,""
STAR WARS™: Squadrons,0,39.99,1 Oct 2020,18341,windows ,"Mostly Positive / 74% of 16,731",false, Flight / Space / Multiplayer / VR / Sci-fi / Action / Singleplayer / Simulation / First-Person / PvP / Online Co-Op / Spaceships / Co-op / Shooter / Controller / Space Sim / Female Protagonist / Open World / Strategy / Adventure ,MOTIVE,Electronic Arts,Action / Simulation,79,https://store.steampowered.com/app/1222730/STAR_WARS_Squadrons/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/1222730/capsule_sm_120.jpg?t=1611259327," Master the art of starfighter combat in the authentic piloting experience STAR WARS™: Squadrons. Feel the adrenaline of first-person multiplayer space dogfights alongside your squadron, and buckle up in a thrilling STAR WARS™ story. "
Warhammer: Vermintide 2,0,29.99,8 Mar 2018,62602,windows ,"Very Positive / 80% of 46,907",false, Co-op / First-Person / Hack and Slash / Online Co-Op / Multiplayer / Gore / Dark Fantasy / Action / Violent / Fantasy / PvE / Games Workshop / Atmospheric / FPS / Action RPG / Singleplayer / Survival / Indie / Adventure / Open World ,Fatshark,Fatshark,Action / Indie,82,https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/552500/capsule_sm_120.jpg?t=1605801170, The critically acclaimed Vermintide 2 is a visually stunning and groundbreaking melee action game pushing the boundaries of the first person co-op genre. Join the fight now! 
Elite Dangerous,0,29.99,2 Apr 2015,65108,windows ,"Mostly Positive / 76% of 50,013",false, Space Sim / Space / Open World / Exploration / Sci-fi / Simulation / Massively Multiplayer / Multiplayer / First-Person / Action / Adventure / Sandbox / VR / Online Co-Op / Trading / Singleplayer / RPG / Strategy / Difficult / TrackIR ,Frontier Developments,Frontier Developments,Action / Adventure / Massively Multiplayer / RPG / Simulation / Strategy,80,https://store.steampowered.com/app/359320/Elite_Dangerous/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/359320/capsule_sm_120.jpg?t=1603796492, Take control of your own starship in a cutthroat galaxy. Elite Dangerous is the definitive massively multiplayer space epic. 
Spiritfarer®,25%,29.99,18 Aug 2020,6720,windows / mac/ linux,"Overwhelmingly Positive / 96% of 5,847",false, Building / Management / Emotional / Indie / Adventure / Story Rich / Hand-drawn / Platformer / Female Protagonist / Local Co-Op / Exploration / Atmospheric / Co-op / Crafting / Funny / Simulation / Relaxing / Farming Sim / Cartoony / Fishing ,Thunder Lotus Games,Thunder Lotus Games,Adventure / Indie / Simulation,84,https://store.steampowered.com/app/972660/Spiritfarer/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/972660/capsule_sm_120.jpg?t=1611680725," Spiritfarer® is a cozy management game about dying. As ferrymaster to the deceased, build a boat to explore the world, care for your spirit friends, and guide them across mystical seas to finally release them into the afterlife. What will you leave behind? "
Age of Empires III: Definitive Edition,0,19.99,15 Oct 2020,14254,windows ,"Mixed / 69% of 12,791",false, Strategy / RTS / Base Building / Multiplayer / Military / Historical / War / 3D / Singleplayer / Resource Management / City Builder / PvP / Combat / Story Rich / Moddable / Level Editor / Classic ,Tantalus Media / Forgotten Empires,"",Strategy,75,https://store.steampowered.com/app/933110/Age_of_Empires_III_Definitive_Edition/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/933110/capsule_sm_120.jpg?t=1605738001," Age of Empires III: Definitive Edition completes the celebration of one of the most beloved real-time strategy franchises with remastered graphics and music, all previously released expansions and brand-new content to enjoy for the very first time. "
HITMAN™ 2,0,0,13 Nov 2018,48988,windows ,"Very Positive / 91% of 20,683",false, Stealth / Assassin / Action / Singleplayer / Third Person / Multiplayer / Violent / Open World / Sandbox / Strategy / Gore / Puzzle / Atmospheric / Co-op / Third-Person Shooter / Shooter / Funny / Online Co-Op / Great Soundtrack / Nudity ,IO Interactive A/S,Warner Bros Interactive Entertainment,Action,82,https://store.steampowered.com/app/863550/HITMAN_2/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/863550/capsule_sm_120.jpg?t=1598895956," Travel the globe and track your targets across exotic sandbox locations in HITMAN™ 2. From sun-drenched streets to dark and dangerous rainforests, nowhere is safe from the world’s most creative assassin, Agent 47 in the ultimate spy thriller story. "
Pavlov VR,0,24.99,27 Feb 2017,19423,windows ,"Very Positive / 94% of 18,370",false, Early Access / VR / Action / Shooter / Multiplayer / FPS / Indie / Violent / Military / Gore / First-Person / Funny / Singleplayer / Memes / Competitive / Zombies / PvP / Team-Based / Co-op / Simulation ,Vankrupt Games,Vankrupt Games,Action / Indie / Early Access,"",https://store.steampowered.com/app/555160/Pavlov_VR/?snr=1_7_7_230_150_5,https://cdn.akamai.steamstatic.com/steam/apps/555160/capsule_sm_120.jpg?t=1608725963, Pavlov vr is a multiplayer shooter in VR with heavy focus on community features. Realistic reloading features and fast paced combat as part of the core experience. Play the #1 most popular VR shooter on PC today. 
