nombre,descuento,precio,fechaLanzamiento,usuarioCompraron,plataformas,resenia,bloqueoDeEdad,etiquetas,desarrollador,editor,genero,metacritic,herf,imagen,descipcion
Hunt: Showdown,50%,39.99,27 Aug 2019,"",windows ,"Very Positive / 82% of 59,095",true,"","","","","",https://store.steampowered.com/app/594650/Hunt_Showdown/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/594650/capsule_sm_120.jpg?t=1611646905,""
Satisfactory,0,29.99,8 Jun 2020,43282,windows ,"Overwhelmingly Positive / 97% of 38,842",false, Base Building / Automation / Crafting / Open World / Multiplayer / Co-op / Resource Management / Building / Exploration / Sandbox / Adventure / Simulation / Strategy / Early Access / Indie / Open World Survival Craft / Survival / First-Person / Sci-fi / Singleplayer ,Coffee Stain Studios,"",Adventure / Indie / Simulation / Strategy / Early Access,"",https://store.steampowered.com/app/526870/Satisfactory/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/526870/capsule_sm_120.jpg?t=1598908784," Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Play alone or with friends, explore an alien planet, create multi-story factories, and enter conveyor belt heaven! "
Microsoft Flight Simulator,0,59.99,17 Aug 2020,21616,windows ,"Mostly Positive / 75% of 20,650",false, Simulation / Flight / Open World / Multiplayer / Realistic / Singleplayer / Atmospheric / Adventure / Physics / Real-Time / Colorful / Family Friendly / VR / TrackIR / Logic / Life Sim / Surreal / Beautiful / Short / Auto Battler ,Asobo Studio,"",Simulation,91,https://store.steampowered.com/app/1250410/Microsoft_Flight_Simulator/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/1250410/capsule_sm_120.jpg?t=1609777759," From light planes to wide-body jets, fly highly detailed and accurate aircraft in the next generation of Microsoft Flight Simulator. Test your piloting skills against the challenges of night flying, real-time atmospheric simulation and live weather in a dynamic and living world. "
SMITE®,0,0,8 Sep 2015,79067,windows ,"Very Positive / 81% of 79,067",false, Free to Play / MOBA / Multiplayer / Action / Third Person / Mythology / Team-Based / Competitive / Strategy / PvP / Co-op / Massively Multiplayer / eSports / RPG / MMORPG / Adventure / Funny / Nudity / Casual / Survival ,Titan Forge Games,"",Action / Free to Play,83,https://store.steampowered.com/app/386360/SMITE/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/386360/capsule_sm_120.jpg?t=1611736259," Join 35+ million players in SMITE, the Battleground of the Gods! Wield Thor’s hammer, turn your foes to stone as Medusa, or flex your divine power as one of 100+ other mythological icons. Become a God and play FREE today! "
Baldur's Gate 3,0,59.99,6 Oct 2020,"",windows / mac,"Very Positive / 88% of 31,074",true,"","","","","",https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/1086940/capsule_sm_120.jpg?t=1610008080,""
World of Warships,0,0,15 Nov 2017,71327,windows ,"Very Positive / 80% of 71,327",false, Naval Combat / Naval / Free to Play / Multiplayer / World War II / PvP / Military / Tactical / Team-Based / Strategy / War / Online Co-Op / Historical / Massively Multiplayer / Realistic / Co-op / Shooter / Simulation / Action / PvE ,Wargaming Group Limited,Wargaming Group Limited,Action / Free to Play / Massively Multiplayer / Simulation,81,https://store.steampowered.com/app/552990/World_of_Warships/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/552990/capsule_sm_120.jpg?t=1611838830," Experience epic, free-to-play naval combat when you helm one of over 300 historic vessels in the exciting balance of strategy and real-time combat that World of Warships offers. Outfit your fleet with flags, camouflages, modifications, talented Commanders, and more! "
Fall Guys: Ultimate Knockout,0,19.99,3 Aug 2020,339899,windows ,"Very Positive / 83% of 299,535",false, Multiplayer / Funny / Battle Royale / Online Co-Op / Family Friendly / Comedy / Party Game / Cute / Casual / Physics / Massively Multiplayer / Colorful / 3D Platformer / Indie / Co-op / Action / Controller / Great Soundtrack / Difficult / Local Co-Op ,Mediatonic,Devolver Digital,Action / Casual / Indie / Massively Multiplayer / Sports,80,https://store.steampowered.com/app/1097150/Fall_Guys_Ultimate_Knockout/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/1097150/capsule_sm_120_alt_assets_2.jpg?t=1608598304, Fall Guys is a massively multiplayer party game with up to 60 players online in a free-for-all struggle through round after round of escalating chaos until one victor remains! 
Wallpaper Engine,0,3.99,Nov 2018,296947,windows ,"Overwhelmingly Positive / 98% of 273,689",false, Utilities / Mature / Software / Anime / Design & Illustration / Animation & Modeling / Casual / Memes / Early Access / Indie / Cute / Funny / Action / Singleplayer / Music / Sandbox / NSFW / Photo Editing / Game Development / Horror ,Wallpaper Engine Team,Wallpaper Engine Team,Casual / Indie / Animation & Modeling / Design & Illustration / Photo Editing / Utilities,"",https://store.steampowered.com/app/431960/Wallpaper_Engine/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/431960/capsule_sm_120.jpg?t=1611938352, Use stunning live wallpapers on your desktop. Animate your own images to create new wallpapers or import videos/websites and share them on the Steam Workshop! 
Green Hell,30%,24.99,5 Sep 2019,28771,windows ,"Very Positive / 86% of 21,888",false, Survival / Open World Survival Craft / Open World / Crafting / Singleplayer / Realistic / Simulation / First-Person / Online Co-Op / Adventure / Indie / Base Building / Survival Horror / Horror / Exploration / Early Access / Sexual Content / Sandbox / Nudity / Psychological Horror ,Creepy Jar,Creepy Jar,Indie / Simulation,77,https://store.steampowered.com/app/815370/Green_Hell/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/815370/capsule_sm_120.jpg?t=1611908106," Green Hell is a sweltering struggle for survival in the Amazonian rainforest. Clinging to life, the player is set on a journey of durability as the effects of solitude wear heavy not only on the body but also the mind. How long can you survive against the dangers of the unknown? "
Team Fortress 2,0,0,10 Oct 2007,750409,windows / mac/ linux,"Very Positive / 94% of 750,409",false, Free to Play / Hero Shooter / Multiplayer / FPS / Shooter / Action / Class-Based / Team-Based / Funny / First-Person / Online Co-Op / Cartoony / Competitive / Trading / Co-op / Comedy / Robots / Tactical / Cartoon / Crafting ,Valve,Valve,Action / Free to Play,92,https://store.steampowered.com/app/440/Team_Fortress_2/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/440/capsule_sm_120.jpg?t=1592263852," Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats! "
