Titulo,Precio,Generos,Plataformas,Fecha de Salida,Desarrollador,Publisher,Rating,Valoración del usuario,Imagen,Link
Season's Beatings ,2.08,Action|Indie,Windows|Mac|Linux,"January 22, 2018",Code Avarice,Code Avarice,"",0,https://cdn-products.eneba.com/resized-products/wiRcFZf6i8Xo2-RgXS0HVlRMLmwLw33gcGc_fTBpE54_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-seasons-beatings-steam-key-global
Super Turbo Demon Busters! ,1.15,Indie|Adventure,Windows,"December 8, 2017",HeroCraft,HeroCraft,"",0,https://cdn-products.eneba.com/resized-products/sXxwKdem-oPIVsXlhbXAoct9OxpnaH3arQTkFYXTTL0_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-super-turbo-demon-busters-steam-key-global
Sentinel 4: Dark Star ,1.56,Indie|Strategy,Windows,"August 13, 2015",Origin8 Technologies Ltd,Origin8 Technologies Ltd,"",0,https://cdn-products.eneba.com/resized-products/0eNtNOLfgXwPQtIPLXUc9kGv7QFGYy5PBPnvl2CuO4M_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-sentinel-4-dark-star-steam-key-global
Crookz: The Big Heist ,1.56,Simulation|Strategy,Windows|Mac|Linux,"August 25, 2015",Skilltree Studios,Kalypso Media Digital,Rates 16+,0,https://cdn-products.eneba.com/resized-products/yTb9gIPZ5azQTXgFavDYvpaz6lrGmitRfyiGv8vpr9U_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-crookz-the-big-heist-steam-key-global-1
A Boy and His Blob ,2.45,Puzzle|Platform|Adventure,Windows|Mac|Linux,"January 19, 2016","Abstraction Games, WayForward","Midnight City, Majesco Entertainment",Rates 7+,0,https://cdn-products.eneba.com/resized-products/GPHrQNICW6rz0lNfA-dt2RYuwCu0alQlDv3zXrVRK0s_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-a-boy-and-his-blob-steam-key-global
Kick Ass Commandos ,4.85,Action|Indie|Strategy|Adventure,Windows|Mac|Linux,"November 18, 2016",Anarchy Enterprises,Anarchy Enterprises,"",0,https://cdn-products.eneba.com/resized-products/YMw7ndTmItlK10lQKT390xIFe0jm_CI2EJn7n4Ttlko_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-kick-ass-commandos-steam-key-global
Groovy ,0.74,Sport|Indie|Racing,Windows|Linux,"May 27, 2016",SGS Team,SGS Team,"",0,https://cdn-products.eneba.com/resized-products/jNVMr8VDl5ZXqVdYTXRrksAw2Hpvxf_L1mmacKtb2LM_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-groovy-steam-key-global
Basingstoke ,1.34,Action|Indie|Adventure,Windows|Mac|Linux,"April 27, 2018",Puppygames,Puppygames,"",0,https://cdn-products.eneba.com/resized-products/djZ4g2nYGatO6ALf52ZI0luM8SpVHjpSluItOBLng74_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-basingstoke-steam-key-global
Aeronautica Imperialis: Flight Command ,2.89,Strategy,Windows,"May 28, 2020",Binary Planets,Green Man Gaming Publishing,"",0,https://cdn-products.eneba.com/resized-products/FM6W6eKED43R1EJDvHUIkkyk9hvp1woC33N-qSWGmNc_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-aeronautica-imperialis-flight-command-steam-key-global
F-16 Multirole Fighter ,3.34,Action|Simulation,Windows,"October 6, 1999",NovaLogic,THQ Nordic,"",0,https://cdn-products.eneba.com/resized-products/O7M_bUKXEr5BVTgyKwil5jcuaw_7b2ObRNDGJuafXXg_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-f-16-multirole-fighter-steam-key-global
Knights of Honor ,2.29,Strategy,Windows,"May 10, 2005",Black Sea Studios Ltd,Paradox Interactive,Rates 12+,5.00/5,https://cdn-products.eneba.com/resized-products/3jVS7Q_NxRDLMVPT9Qr8Yfxl3oj4DM_rOA50Ioh5iZI_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-knights-of-honor-steam-key-global
The Outer Worlds ,20.41,RPG,Windows,"October 23, 2020",Obsidian Entertainment,Private Division,"",0,https://cdn-products.eneba.com/resized-products/fDEs_9-DXxN2jQw3GKWOB0TnEGTSN0XFqFbgFhk2JyM_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-the-outer-worlds-steam-key-global
Bus Simulator 18 ,21.91,Simulation,Windows,"June 13, 2018",stillalive studios,astragon Entertainment,"",0,https://cdn-products.eneba.com/resized-products/S2pihOc2Ua_B_efSlgtQ4Mkvl4UsDAVw0jEnoCrKQQ0_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-bus-simulator-18-steam-key-global
Die Young ,8.27,Action|Simulation|Indie|Adventure,Windows,"June 5, 2017",IndieGala,IndieGala,"",0,https://cdn-products.eneba.com/resized-products/esuYGksxI6DrLRpWYtFg2yCFIuhmnhKicEMVPTCXfSY_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-die-young-steam-key-global
Might and Magic 7: For Blood and Honor ,4.1,RPG,Windows,"January 2, 2000","New World Computing, Inc.",Ubisoft,"",0,https://cdn-products.eneba.com/resized-products/gWYu7QQ7ybPPQ0zFqS9K_U6yUMkzFqp-W3Bwaua0IxQ_350x200_1x-0.jpeg,https://www.eneba.com/us/gog-might-and-magic-7-for-blood-and-honor-steam-key-global
Company of Heroes: Tales of Valor ,6.82,Action|Strategy,Windows,"April 7, 2009",Relic Entertainment,THQ Nordic,Rates 16+,0,https://cdn-products.eneba.com/resized-products/Wm7R2ig_350x200_1x-0.jpg,https://www.eneba.com/us/steam-company-of-heroes-tales-of-valor-steam-key-global-1
Twilight Struggle ,5.4,Simulation|Strategy,Windows|Mac,"April 13, 2016","Playdek, Inc.",Asmodee Digital,"",4.50/5,https://cdn-products.eneba.com/resized-products/czUI4d27KWn7gE6gvEIzEOjuK6ot0ebhA_P0y6udZCw_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-twilight-struggle-steam-key-global
Total War Saga: Thrones of Britannia ,23.29,Action|Strategy,Windows,"May 3, 2018",Creative Assembly,SEGA,Rates 16+,4.50/5,https://cdn-products.eneba.com/resized-products/wn6adxf5kdzowpsdptgh_350x200_1x-0.jpg,https://www.eneba.com/us/steam-total-war-saga-thrones-of-britannia-steam-key-global
Internet Cafe Simulator ,10.8,Simulation|Indie|Adventure,Windows,"October 25, 2019",Cheesecake Dev,Cheesecake Dev,"",0,https://cdn-products.eneba.com/resized-products/0SLln_seYPtD7KSm0kku8N0Y-oCqAPKbvg4sjprpNug_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-internet-cafe-simulator-steam-key-global
Rogue Stormers ,1.51,Action|Indie|Platform,Windows|Linux,"September 8, 2016",Black Forest Games,HandyGames,Rates 16+,5.00/5,https://cdn-products.eneba.com/resized-products/k0nNUFtIzIWmapJMnVM1TP2B6BualKfFMhEt7ripBuo_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-rogue-stormers-steam-key-global
Heli Heroes ,0.33,Action,Windows,"March 30, 2013",Reality Pump,TopWare Interactive,"",5.00/5,https://cdn-products.eneba.com/resized-products/IKz3Zuu_350x200_1x-0.jpg,https://www.eneba.com/us/steam-heli-heroes-steam-key-global
Wickland ,1.08,Action|Indie,Windows,"November 14, 2014",Mad Ram Software,Mad Ram Software,"",0,https://cdn-products.eneba.com/resized-products/pHnHSftVeBVQifWBTbrUyyHG8IFVkrxXh7pTkVYcLkI_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-wickland-steam-key-global
For The Glory: A Europa Universalis Game ,1.47,Simulation|Strategy,Windows,"November 12, 2009",Crystal Empire Games,Paradox Interactive,"",0,https://cdn-products.eneba.com/resized-products/QyslqWBylJdF9wqop1IcJ67wVGCA5U3GJoU5vV9AMvI_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-for-the-glory-a-europa-universalis-game-steam-key-global
Zenith ,2.4,Action|Indie|Adventure|RPG,Windows,"September 20, 2016",Infinigon,BadLand Publishing,Rates 16+,4.25/5,https://cdn-products.eneba.com/resized-products/FcjBgbi_350x200_1x-0.jpg,https://www.eneba.com/us/steam-zenith-steam-key-global
Risen 3: Titan Lords - Complete Edition ,9.58,Action|Adventure,Windows,"August 14, 2014",Piranha Bytes,THQ Nordic,Rates 16+,0,https://cdn-products.eneba.com/resized-products/Fqnzs8N3iS1tIwfGKVS7EToGluRhjnFwQF6NVPVg3S4_350x200_1x-0.jpeg,https://www.eneba.com/us/gog-risen-3-titan-lords-complete-edition-gog-com-key-global
A New Beginning – Final Cut ,1.21,Indie|Adventure,Windows|Mac,"December 11, 2012",Daedalic Entertainment,Daedalic Entertainment,"",0,https://cdn-products.eneba.com/resized-products/yX0Tpu5nsaBnmDvDe0WuG8vVPfxP1joBUm2EHue8M-8_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-a-new-beginning-final-cut-steam-key-global
The House of da Vinci ,5.34,Indie|Strategy|Adventure,Windows|Mac,"June 22, 2017",Blue Brain Games,Blue Brain Games,"",5.00/5,https://cdn-products.eneba.com/resized-products/yjEz0t7eZhTD-mdYHL8uMIQPV1f-v8EiIvGOFzSCtQA_350x200_1x-0.jpg,https://www.eneba.com/us/steam-the-house-of-da-vinci-steam-key-global
Corpse Party ,10.82,Indie|Adventure|RPG,Windows|Linux,"April 25, 2016",Team GrisGris,XSEED Games,"",0,https://cdn-products.eneba.com/resized-products/x5MZyd0TB9UB8Nj32EP6muKSy1dpUQ4NCTDnDuf93iw_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-corpse-party-steam-key-global
Hunting Simulator ,6.27,Sport|Simulation|FPS / TPS|Adventure,Windows,"June 30, 2017",Neopica,Bigben Interactive,Rates 16+,4.55/5,https://cdn-products.eneba.com/resized-products/D7ND7xQ_350x200_1x-0.jpg,https://www.eneba.com/us/steam-hunting-simulator-steam-key-global
"Warhammer 40,000: Dawn of War Franchise Pack ",21.78,Strategy,Windows|Mac|Linux,"March 1, 2011","Relic Entertainment, Feral Interactive",SEGA,Rates 18+ (Mature),0,https://cdn-products.eneba.com/resized-products/HWqqZn0M8ONPSdJwsvaz7flXleIEeD-n69us7u2GVe0_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-warhammer-40-000-dawn-of-war-franchise-pack-steam-key-global
Don't Starve Together: Console Edition XBOX ,5.47,Adventure,"","September 13, 2017",Klei Entertainment / BlitWorks,Klei Entertainment,"",0,https://cdn-products.eneba.com/resized-products/YtLrpp6uhF0a1zYJT70oseUrEOEREZWEf5vPFI8D4lQ_350x200_1x-0.jpeg,https://www.eneba.com/us/xbox-dont-starve-together-console-edition-xbox-live-key-argentina
Guild Wars 2: Heart of Thorns Official ,20.54,MMO|RPG,Windows,"October 23, 2015",ArenaNet Inc.,NCsoft,Rates 12+,4.89/5,https://cdn-products.eneba.com/resized-products/YUGfSmP_350x200_1x-0.jpg,https://www.eneba.com/us/arena_net-guild-wars-2-heart-of-thorns-official-website-key-global
Eliza ,0.82,Indie,Windows|Mac|Linux,"August 12, 2019",Zachtronics,Zachtronics,"",5.00/5,https://cdn-products.eneba.com/resized-products/FznbScpHJ_lD7-_IcO4L9AiJVeRTbB78fMtuFbUlYyw_350x200_1x-0.jpg,https://www.eneba.com/us/steam-eliza
太吾绘卷 The Scroll Of Taiwu ,10.15,Indie|Strategy|RPG,Windows,"September 21, 2018",ConchShip Games,ConchShip Games,"",0,https://cdn-products.eneba.com/resized-products/gSjQlZDc0cCC3okIH_mhWjnkTLUzA87JVqmKVAKcdPg_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-tai-wu-hui-juan-the-scroll-of-taiwu
Plantera ,1.11,Simulation|Indie|Puzzle,Windows,"January 29, 2016",Novarama Technology,Navarre,Rates 3+,4.75/5,https://cdn-products.eneba.com/resized-products/Plantera_350x200_1x-0.jpg,https://www.eneba.com/us/steam-plantera-steam-key-global
WRC 8: FIA World Rally Championship ,24.59,Racing,Windows,"September 8, 2020",KT Racing,Bigben Interactive,"",4.50/5,https://cdn-products.eneba.com/resized-products/PyZcOw4TyQlVDxA-uhje-cACRo-u_fv2gqH0FYObSTA_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-wrc-8-fia-world-rally-championship-steam-key-global
Dead Island Retro Revenge ,2.73,Action,Windows,"June 1, 2016",Empty Clip Studios,Deep Silver,Rates 16+,5.00/5,https://cdn-products.eneba.com/resized-products/FXeGJ16dkoFEZ1Q_l2ulhbNqKKOmIF4Gdj5X5wHvEzs_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-dead-island-retro-revenge-steam-key-global
MachiaVillain ,6.7,Simulation|Indie|Strategy,Windows|Mac|Linux,"May 16, 2018",Wild Factor,Good Shepherd Entertainment,"",0,https://cdn-products.eneba.com/resized-products/h4GewfaG-gT2pn6bPb1NKF4pk1b1U9vQV2lDOAmWeiU_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-machiavillain-steam-key-global
Cyber Hook ,6.49,Action|Indie,Windows,"September 24, 2020",Blazing Stick,Graffiti Games,Rates 3+,0,https://cdn-products.eneba.com/resized-products/wFDaA66AwMt9iPWyd4Dvi1CLr6l3lG-Rzpot8pmRwfI_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-cyber-hook-steam-key-global
Guild Wars 2: Heart of Thorns Official ,20.54,MMO|RPG,Windows,"October 23, 2015",ArenaNet Inc.,NCsoft,Rates 12+,4.89/5,https://cdn-products.eneba.com/resized-products/YUGfSmP_350x200_1x-0.jpg,https://www.eneba.com/us/arena_net-guild-wars-2-heart-of-thorns-official-website-key-global
Don't Starve Together: Console Edition XBOX ,5.47,Adventure,"","September 13, 2017",Klei Entertainment / BlitWorks,Klei Entertainment,"",0,https://cdn-products.eneba.com/resized-products/YtLrpp6uhF0a1zYJT70oseUrEOEREZWEf5vPFI8D4lQ_350x200_1x-0.jpeg,https://www.eneba.com/us/xbox-dont-starve-together-console-edition-xbox-live-key-argentina
Z1 Battle Royale ,3.48,Action|FPS / TPS|Adventure,Windows,"February 28, 2018",Daybreak Game Company,Daybreak Game Company,Rates 16+,0,https://cdn-products.eneba.com/resized-products/QCcRJG1kwKhCIP61V2IR8god95jcoYcH0djljjPmHZA_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-h1z1-steam-key-global
Guilty Gear Isuka ,3.95,Action|Fighting,Windows,"June 20, 2006",Arc System Works,Fun Box Media,Rates 12+,5.00/5,https://cdn-products.eneba.com/resized-products/YbZbRne_350x200_1x-0.jpg,https://www.eneba.com/us/steam-guilty-gear-isuka-steam-key-global
Delta Force - Black Hawk Down: Team Sabre ,5.47,Action,Windows,"January 20, 2004",Ritual Entertainment,THQ Nordic,"",0,https://cdn-products.eneba.com/resized-products/AzZ_rKiHY0EUZExEunFJJx4iUikz85W3jyQGAbPynp4_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-delta-force-black-hawk-down-team-sabre-steam-key-global
X-COM: UFO Defense ,1.77,Strategy,Windows,"January 1, 1999",Microprose,Take 2 Interactive,"",0,https://cdn-products.eneba.com/resized-products/dqDPgrrLwGq9Jib0I56Oov7gRPxstU_DED7UObnSVFQ_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-x-com-ufo-defense-steam-key-global
Spellforce Complete ,3.92,Strategy|RPG,Windows,"December 7, 2017","Grimlore Games, THQ Nordic",THQ Nordic,Rates 18+ (Mature),5.00/5,https://cdn-products.eneba.com/resized-products/VUgBfIp3Wur44iu7oCGadFk8A3bHcKju7ib0a4EMeEE_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-spellforce-complete-steam-key-global
Aliens: Colonial Marines ,9.58,Action|FPS / TPS,Windows,"February 12, 2013",Gearbox Software,SEGA,Rates 18+ (Mature),0,https://cdn-products.eneba.com/resized-products/dbx2lu6gjlxvj7z8nhrr_350x200_1x-0.jpg,https://www.eneba.com/us/steam-aliens-colonial-marines-steam-key-global
Driftland: The Magic Revival ,2.33,Indie|Strategy|RPG,Windows,"April 18, 2019",Star Drifters,Star Drifters,"",0,https://cdn-products.eneba.com/resized-products/5L1mNie_ynwUmJO78gcDnxutFeLsTBbny3E1VSU9Nrg_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-driftland-the-magic-revival-steam-key-global
Iron Harvest ,25.88,Strategy,"","September 1, 2020",King Art Games King Art,Deep Silver,"",0,https://cdn-products.eneba.com/resized-products/RXGek0aI4Ab_Re9pXyXRjhHquGr0WY-xqfy4uwuHUHI_350x200_1x-0.jpg,https://www.eneba.com/us/steam-iron-harvest-steam-key-latam-2
Ary And The Secret Of Seasons ,20.14,Action|Puzzle|Adventure|RPG,"","September 1, 2020",eXiin Fishing Cactus,Modus Games,"",5.00/5,https://cdn-products.eneba.com/resized-products/5f4Pakf9wHTz4F_lM4Msrbgmj154oWKLPw-TB9RYoqw_350x200_1x-0.jpg,https://www.eneba.com/us/steam-ary-and-the-secret-of-seasons-steam-key-global
Call of Duty: Black Ops 3 (incl. Nuketown DLC) ,52.05,Action|FPS / TPS|Adventure,Windows,"November 6, 2015",Treyarch,Activision,Rates 18+ (Mature),4.35/5,https://cdn-products.eneba.com/resized-products/bLwg-TLSkQOfdy9hkkYBYQCC04ujzBuge3ogPp7X0Jw_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-call-of-duty-black-ops-3-incl-nuketown-dlc-steam-key-global
Monkey King: Hero is Back ,9.37,Action|Adventure|RPG,Windows,"October 17, 2019",HEXADRIVE Inc.,Oasis Games,"",4.80/5,https://cdn-products.eneba.com/resized-products/ig56Mxo7AAAxsahHubDHPUY93KdAlWXi7sp5I_iebps_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-monkey-king-hero-is-back-steam-key-global
F.E.A.R ,6.7,Action,Windows,"October 17, 2005","Monolith Productions, Inc. Timegate",Warner Bros. Interactive Entertainment,Rates 18+ (Mature),4.82/5,https://cdn-products.eneba.com/resized-products/iv05BMRgQWJVFHVZQSnNmGhxUxJF5XCnTx1T77BsG8M_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-f-e-a-r-steam-key-global
Strategic Mind: Blitzkrieg ,22.3,Simulation|Strategy,Windows,"May 22, 2020",Starni Games,Starni Games,"",0,https://cdn-products.eneba.com/resized-products/tB_o0vlJjjFv_lHRytM3PwS8UT2SplxkjCk0ZF8jULQ_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-strategic-mind-blitzkrieg-steam-key-global
Rage Against The Zombies ,1.16,Action,Windows|Mac,"January 18, 2017",3DDUO,Plug In Digital,"",0,https://cdn-products.eneba.com/resized-products/nWgTPFb_350x200_1x-0.jpg,https://www.eneba.com/us/steam-rage-against-the-zombies-steam-key-global
Killing Floor: Incursion [VR] ,13.69,Action|FPS / TPS,Windows,"November 14, 2017",Tripwire Interactive,Tripwire Interactive,Rates 18+ (Mature),0,https://cdn-products.eneba.com/resized-products/yWjyH1Ni_GfF5b7L6HFs6X_wiZrhT59z4QgCXCNcQYw_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-killing-floor-incursion-vr-steam-key-global
Scribblenauts Unmasked: A DC Comics Adventure ,4.75,Action|Strategy|Adventure,Windows,"September 24, 2013",5th Cell Media,Warner Bros. Interactive Entertainment,"",5.00/5,https://cdn-products.eneba.com/resized-products/d5be1c56QFqdB3ETCDqIoNEqGnoLTUDxTNtIL-_PY9Q_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-scribblenauts-unmasked-a-dc-comics-adventure-steam-key-global
GoNNER ,2.58,Indie,Windows|Mac|Linux,"October 12, 2016",Art in Heart,Raw Fury,"",0,https://cdn-products.eneba.com/resized-products/wN6_mad3tFEzFbfQSCl3j_uuTYKay1u7rjVbaRlaKds_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-gonner-steam-key-global
Infinifactory ,15.03,Simulation|Indie|Puzzle,Windows|Mac|Linux,"July 1, 2015",Zachtronics Industries,Zachtronics Industries,Rates 12+,5.00/5,https://cdn-products.eneba.com/resized-products/mo6w9Ga_350x200_1x-0.jpg,https://www.eneba.com/us/steam-infinifactory-steam-key-global
Infinifactory ,15.03,Simulation|Indie|Puzzle,Windows|Mac|Linux,"July 1, 2015",Zachtronics Industries,Zachtronics Industries,Rates 12+,5.00/5,https://cdn-products.eneba.com/resized-products/mo6w9Ga_350x200_1x-0.jpg,https://www.eneba.com/us/steam-infinifactory-steam-key-global
SaGa SCARLET GRACE AMBITIONS ,21.77,RPG,Windows,"August 2, 2018",Square Enix,Square Enix,Rates 12+,0,https://cdn-products.eneba.com/resized-products/Jofr_9SK5BLNSLqFtSZkNe8Nn3y8DbDfQXCX_I2gUq8_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-saga-scarlet-grace-ambitions-steam-key-global
The Sims 3 + University Life ,11.23,Simulation,Windows,"March 5, 2013",EA Games,Electronic Arts Inc.,Rates 12+,0,https://cdn-products.eneba.com/resized-products/bxhkiyur0xmsjsnzqlqf_350x200_1x-0.jpg,https://www.eneba.com/us/origin-the-sims-3-university-life-origin-key-global-1
Cultist Simulator ,9.58,Simulation|Indie|RPG,Windows|Mac|Linux,"May 31, 2018",Weather Factory,Humble Bundle,"",4.50/5,https://cdn-products.eneba.com/resized-products/zw0rhZosFutvUqn1STZ-61c0nQNfuHDaKCdR-xxOCs4_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-cultist-simulator-steam-key-global
ReCore Definitive Edition ,9.88,Action|Puzzle|Platform|Adventure,Windows,"September 14, 2018",Armature Studio Comcept,Xbox Game Studios,Rates 12+,0,https://cdn-products.eneba.com/resized-products/JEAid1y-a4Bkr11P4hT7A2RmUsEstuAyGVYWBuQOH48_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-recore-definitive-edition-steam-key-global
Train Simulator 2019 ,24.95,Simulation,Windows,"July 12, 2009",Dovetail Games,Dovetail Games,Rates 3+,0,https://cdn-products.eneba.com/resized-products/ZgF6dlO1ZW7SY_d_AMFK8xEOOQBDt2_z95jZmaHXwF0_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-train-simulator-2019-steam-key-global
Project Abyss ,0.66,Action|Simulation|Indie|Adventure|RPG,Windows,"November 18, 2016","Tall Story Studios, Prey Interactive",Prey Interactive,"",0,https://cdn-products.eneba.com/resized-products/nVRyGysOE3s-jxhMt4GQPwRlOp5mkQvVszGu7ILO_mk_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-project-abyss-steam-key-global
The Adventures of Capitano Navarro ,0.81,Action|Indie|Adventure|RPG,Windows|Mac|Linux,"August 4, 2017",Don Emídio Navarro Games,Sometimes You,"",0,https://cdn-products.eneba.com/resized-products/uF5XVDzk5ULoy2hG0_y_yv1M53VfYGUPO1tX0z2T7I4_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-the-adventures-of-capitano-navarro-steam-key-global
Square Head Zombies ,1.22,Indie,Windows,"September 25, 2017",Fabio Cunha,Fabio Cunha,"",0,https://cdn-products.eneba.com/resized-products/DxkyUOEe0zOR3hCjHmTLh5o92EBnG_Tqfb0P7C2EhVA_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-square-head-zombies-steam-key-global
The Chronicles of Nyanya ,12.92,Indie|Adventure|RPG,Windows,"February 16, 2018",Hamstercube,Fat Dog Games,"",5.00/5,https://cdn-products.eneba.com/resized-products/ci4plpew0x1xtmfpavgd_350x200_1x-0.jpg,https://www.eneba.com/us/steam-the-chronicles-of-nyanya-steam-key-global
Cat on a Diet ,2.73,Action|Indie|Puzzle,Windows,"February 29, 2016",Nawia Games,Forever Entertainment S. A.,"",5.00/5,https://cdn-products.eneba.com/resized-products/YMMoztNVkgERkfivFN7MIAzcROTLPnhLTJwh1eu8_fY_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-cat-on-a-diet-steam-key-global
Horizon ,9.58,Indie|Strategy,Windows,"February 6, 2014",L3O Interactive,Iceberg Interactive,"",5.00/5,https://cdn-products.eneba.com/resized-products/oN7iRdSe_iCAAYqaYzgC3QaYwFtktH3Gb6RVhMVTOJE_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-horizon-steam-key-global
Soldat 2 ,13.69,Action|Indie,Windows|Mac|Linux,"September 22, 2020",Transhuman Design,Transhuman Design,"",0,https://cdn-products.eneba.com/resized-products/ohsMbagdsXXDc95xVkFsNiFP42RMO_sk6dsc3b0NhgY_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-soldat-2-steam-key-global
Batman: Arkham Knight XBOX ,18.5,Action|Hack & Slash|Adventure,"","June 23, 2015",RockSteady Studios,Warner Bros. Interactive Entertainment,Rates 18+ (Mature),0,https://cdn-products.eneba.com/resized-products/VGcjrmPtG7oTXQulf3FLci8mTp1MYlCyslONb-5VWz8_350x200_1x-0.jpeg,https://www.eneba.com/us/xbox-batman-arkham-knight-xbox-live-key-argentina
The Ambassador: Fractured Timelines ,0.69,Action|Indie|Adventure|RPG,Windows,"August 13, 2020",tinyDino Games,The Quantum Astrophysicists Guild,Rates 7+,5.00/5,https://cdn-products.eneba.com/resized-products/5H0uZZbm8BC3WupEWtqncRho0Deh1UrgZeizSlw7v6U_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-the-ambassador-fractured-timelines-steam-key-global
Clocker ,4.66,Indie|Adventure|RPG,Windows|Mac,"February 5, 2019",Wild Kid Games,indienova,"",0,https://cdn-products.eneba.com/resized-products/2GBdnOf_RTBic0G7iAssmg2yQmxdpuwtyh6FJZcaw9I_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-clocker-steam-key-global
IHF Handball Challenge 14 ,5.47,Sport,Windows,"March 28, 2014",Neutron Games GmbH,Plug In Digital,Rates 3+,0,https://cdn-products.eneba.com/resized-products/ADzPjkmJnHwXIJzBrxAN7M8jvdU9CszZvogETVhnWys_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-ihf-handball-challenge-14-steam-key-global
Beyond Blue ,10.14,Simulation|Indie|Adventure,Windows,"June 11, 2020",E-Line Media,E-Line Media,"",5.00/5,https://cdn-products.eneba.com/resized-products/363kEfmqUQn2iKiB-VhV9I5-rBo1Ygif9KKlsagOFk0_350x200_1x-0.jpg,https://www.eneba.com/us/steam-beyond-blue-steam-key-global
DUAL GEAR ,17.11,Action|Simulation|Indie|Strategy|RPG,Windows|Mac,"July 29, 2020","Orbital Speed Studio Co.,Ltd.","Orbital Speed Studio Co.,Ltd.","",0,https://cdn-products.eneba.com/resized-products/CIXe5swKHpYuJ5L-QxgCXdHluQ9fc8LH0oNA82xjakE_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-dual-gear-steam-key-global
Submerged ,6.15,Indie|Adventure,Windows,"August 4, 2015",Uppercut Games,Uppercut Games Pty Ltd,Rates 7+,5.00/5,https://cdn-products.eneba.com/resized-products/kqhUgIM10ac1evUDh4O2_yb2PIsX5NB5Xd7TaSMGKDU_350x200_1x-0.jpg,https://www.eneba.com/us/steam-submerged-steam-key-global
Dark Fall 2: Lights Out ,2.73,Adventure,Windows,"August 24, 2004",Darkling Room,THQ Nordic,"",0,https://cdn-products.eneba.com/resized-products/K-UO2c1nx3Cc7O-b_y_110Uxa3Deu4bWSs6iHRPyMO0_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-dark-fall-2-lights-out-steam-key-global
Tomb Raider: Legend ,2.16,Action|Adventure,Windows,"April 7, 2006",Crystal Dynamics,Square Enix,"",0,https://cdn-products.eneba.com/resized-products/-CweukBf9PxUMMeCLTTmQl2STMMy9vTOdd0FRGhBqDc_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-tomb-raider-legend-steam-key-global
