Titulo,Precio,Generos,Plataformas,Fecha de Salida,Desarrollador,Publisher,Rating,Valoración del usuario,Imagen,Link
BloodRayne: Terminal Cut ,8.63,Windows,"","November 20, 2020",Terminal Reality,Ziggurat,"",0,https://cdn-products.eneba.com/resized-products/NfD5Lvy7Fih6Ws90MJIXnfQB9ADifZZEsyBY2HlLA-8_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-bloodrayne-terminal-cut-steam-key-global
Introvert Quest ,1.36,Indie|Adventure|RPG,Windows,"March 16, 2017",Amaterasu Software,Amaterasu Software,"",0,https://cdn-products.eneba.com/resized-products/SPyYn_VKJO8QnWqMAjxkFUJZi6EiVkaSK9TGQugSCqs_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-introvert-quest-steam-key-global
Marvel vs. Capcom: Infinite ,9.45,Action|Fighting,Windows,"September 19, 2017",Capcom,"CAPCOM Co., Ltd.",Rates 12+,0,https://cdn-products.eneba.com/resized-products/8zA8xuq_350x200_1x-0.jpg,https://www.eneba.com/us/steam-marvel-vs-capcom-infinite-steam-key-latam
Valiant Hearts: The Great War (Xbox One) Xbox ,8.27,Adventure,"","June 25, 2014",Ubisoft Montpellier,Ubisoft,"",5.00/5,https://cdn-products.eneba.com/resized-products/TIh8L1YEBuU26P5mkn2QCgyuC1RJ74k1v8U5bJ2ObwQ_350x200_1x-0.jpeg,https://www.eneba.com/us/uplay-valiant-hearts-the-great-war-xbox-one-xbox-live-key-global
AquaNox 2: Revelation ,1.52,Action,Windows,"August 19, 2003",THQ Nordic,THQ Nordic,Rates 12+,0,https://cdn-products.eneba.com/resized-products/mEE4ndjZa0iqZVjw7181J6OQWgwNwPbA9Su_AJde4ik_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-aquanox-2-revelation-steam-key-global
God of Light: Remastered ,3.29,Indie|Puzzle,Windows,"November 8, 2017","Playmous, EON Games",Plug In Digital,"",0,https://cdn-products.eneba.com/resized-products/v3Q7_gLXVW-aO7ndIZKaEpr8vkHPe2kQuE-6XjuV3A8_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-god-of-light-remastered-steam-key-global
The Banner Saga 3 Legendary ,8.08,Indie|Strategy|RPG,Windows|Mac,"July 26, 2018",Stoic,Versus Evil,"",0,https://cdn-products.eneba.com/resized-products/wWQXA5wE9sVPQxMeHAujIexMwAsTNXivkBMnbvF-ZKM_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-the-banner-saga-3-legendary-editionsteam-key-global
NASCAR Heat 5 - Gold Edition ,41.09,Racing,Windows,"July 10, 2020",704Games Company,Motorsport Games,Rates 3+,5.00/5,https://cdn-products.eneba.com/resized-products/H10I2BylIx5xNErBsJ3VcQ0w_TqEFJiyMUG1S81bslo_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-nascar-heat-5-gold-edition-steam-key-global
Shaq Fu: A Legend Reborn ,6.84,Action|Indie,Windows,"June 5, 2018",Big Deez Productions,Mad Dog Games,Rates 12+,5.00/5,https://cdn-products.eneba.com/resized-products/BvLPv6U2X2RSZxFBiUCnSHHSGjb8Bs1NNyuiCQKgdpA_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-shaq-fu-a-legend-reborn-steam-key-global
Jade Empire: Special Edition ,8.21,Action|RPG,Windows,"April 12, 2005",BioWare,Electronic Arts Inc.,"",0,https://cdn-products.eneba.com/resized-products/4BUOmVFkmA59ZVO83yQ57JOu2X9cfa3iZqzV0GMxZHc_350x200_1x-0.jpeg,https://www.eneba.com/us/gog-jade-empire-special-edition-gog-com-key-global
